iter	F1	Logloss
0	0.8617881649	0.6655446732
1	0.8617881649	0.6434503203
2	0.8617881649	0.6257545076
3	0.8617881649	0.6116089066
4	0.8617881649	0.6002988823
5	0.8617881649	0.5912396984
6	0.8617881649	0.5839841558
7	0.8617881649	0.5781663379
8	0.8617881649	0.5735075679
9	0.8617881649	0.5697700505
10	0.8617881649	0.5667674406
11	0.8617881649	0.564353218
12	0.8617881649	0.5624117035
13	0.8617881649	0.5608416301
14	0.8617881649	0.5595933729
15	0.8617881649	0.5585819023
16	0.8617881649	0.5577663365
17	0.8617881649	0.5571091568
18	0.8617881649	0.5565464707
19	0.8617881649	0.5562516526
20	0.8617881649	0.5557946532
21	0.8617881649	0.5555206843
22	0.8617881649	0.5553020087
23	0.8617881649	0.5551217646
24	0.8617881649	0.5549709688
25	0.8617881649	0.5548515908
26	0.8617881649	0.5547565687
27	0.8617881649	0.5546778801
28	0.8617881649	0.5546146602
29	0.8617881649	0.5545649393
30	0.8617881649	0.5545237215
31	0.8617881649	0.554491487
32	0.8617881649	0.5544625192
33	0.8617881649	0.5544401329
34	0.8617881649	0.5544236073
35	0.8617881649	0.5544072739
36	0.8617881649	0.5543944473
37	0.8617881649	0.5543856081
38	0.8617881649	0.5543772012
39	0.8617881649	0.5543702354
40	0.8617881649	0.5543653835
41	0.8617881649	0.554361204
42	0.8617881649	0.5543577932
43	0.8617881649	0.5543540942
44	0.8617881649	0.5543522687
45	0.8617881649	0.5543509716
46	0.8617881649	0.5543488579
47	0.8617881649	0.5543480893
48	0.8617881649	0.5543468402
49	0.8617881649	0.5543457834
50	0.8617881649	0.5543454951
51	0.8617881649	0.5543452549
52	0.8617881649	0.5543439579
53	0.8617881649	0.5543439579
54	0.8617881649	0.5543436696
55	0.8617881649	0.5543426608
56	0.8617881649	0.5543424686
57	0.8617881649	0.5543422284
58	0.8617881649	0.5543424686
59	0.8617881649	0.5543431892
60	0.8617881649	0.5543427088
61	0.8617881649	0.5543426128
62	0.8617881649	0.5543423245
63	0.8617881649	0.5543415079
64	0.8617881649	0.5543410755
65	0.8617881649	0.5543412677
66	0.8617881649	0.5543409794
67	0.8617881649	0.5543410275
68	0.8617881649	0.5543406431
69	0.8617881649	0.5543410275
70	0.8617881649	0.554340451
71	0.8617881649	0.554340451
72	0.8617881649	0.5543404029
73	0.8617881649	0.5543405471
74	0.8617881649	0.5543402588
75	0.8617881649	0.5543404029
76	0.8617881649	0.5543404029
77	0.8617881649	0.5543402108
78	0.8617881649	0.5543401147
79	0.8617881649	0.554340499
80	0.8617881649	0.554340499
81	0.8617881649	0.5543398265
82	0.8617881649	0.5543395863
83	0.8617881649	0.5543397784
84	0.8617881649	0.5543398745
85	0.8617881649	0.5543397304
86	0.8617881649	0.5543395863
87	0.8617881649	0.5543396824
88	0.8617881649	0.5543396824
89	0.8617881649	0.5543396343
90	0.8617881649	0.5543395382
91	0.8617881649	0.5543391059
92	0.8617881649	0.554339298
93	0.8617881649	0.5543390578
94	0.8617881649	0.5543386255
95	0.8617881649	0.5543388657
96	0.8617881649	0.5543387216
97	0.8617881649	0.5543387696
98	0.8617881649	0.5543387696
99	0.8617881649	0.5543387216
