iter	Passed	Remaining
0	73	7282
1	139	6859
2	228	7387
3	317	7611
4	406	7714
5	480	7520
6	553	7357
7	620	7132
8	710	7181
9	798	7189
10	887	7180
11	976	7160
12	1065	7127
13	1153	7085
14	1241	7037
15	1323	6946
16	1412	6895
17	1471	6704
18	1559	6649
19	1634	6538
20	1725	6489
21	1814	6432
22	1895	6347
23	1984	6285
24	2058	6175
25	2148	6114
26	2237	6049
27	2318	5961
28	2407	5893
29	2497	5826
30	2586	5756
31	2675	5684
32	2765	5614
33	2854	5541
34	2943	5465
35	3032	5391
36	3121	5315
37	3212	5241
38	3302	5165
39	3393	5089
40	3483	5013
41	3573	4934
42	3664	4857
43	3756	4781
44	3846	4701
45	3937	4621
46	4026	4540
47	4116	4459
48	4207	4378
49	4297	4297
50	4387	4215
51	4477	4133
52	4568	4051
53	4659	3969
54	4751	3887
55	4841	3804
56	4931	3720
57	5022	3636
58	5112	3552
59	5203	3468
60	5294	3384
61	5385	3300
62	5476	3216
63	5567	3131
64	5657	3046
65	5749	2961
66	5839	2876
67	5929	2790
68	6019	2704
69	6109	2618
70	6199	2532
71	6289	2445
72	6379	2359
73	6468	2272
74	6558	2186
75	6648	2099
76	6740	2013
77	6830	1926
78	6920	1839
79	7009	1752
80	7100	1665
81	7190	1578
82	7280	1491
83	7369	1403
84	7459	1316
85	7547	1228
86	7634	1140
87	7723	1053
88	7811	965
89	7898	877
90	7987	789
91	8076	702
92	8163	614
93	8252	526
94	8340	438
95	8428	351
96	8516	263
97	8605	175
98	8694	87
99	8783	0
